,CHMP5,IFT46,CEACAM7,RRAGD,HSF2,GABARAPL2,GPBP1,SCAMP1,ZFAND6,CPPED1,GDAP1,LEPROTL1,RPA3,SLAIN2,TDP2,NUDT12,NME5,PDCD10,C3orf14,GCA,SPCS2,CRIPT,LRP11,ZNF639,LIAS,CENPK,NDFIP1,PCBD2,C12orf29,TMEM60,KIAA0319,C17orf80,CISD2,ATG12,POLR2K,MBIP,CETN3,ZNF599,AGPAT5,CBR1,SLC16A14,SAP30,TMEM161B,CMBL,NDUFS4,ANKRA2,LMBRD1,MMADHC,ANKRD49,COMMD8,TMEM154,FRMD3,RGMB,TMEM9B,AP3S1,PSTK,MRPS23,WRB,SKA2,PSMG1,ZFP1,ANKRD37,LYRM7,KCNMB2,ZNF468,C9orf135,MLLT11,MRPL33,RBM5,MED24,TRAM2,OTUD5,POLR1A,ZFYVE26,ACADVL,EVC,ZZEF1,ANKRD13A,ARAF,BCORL1,SH3BP1,MICALL1,BRD1,PCIF1,RAPGEF1,CAMTA2,RBM19,HIVEP3,PNKD,DHX30,MYBBP1A,PELP1,FOXK1,PITPNA,ERN1,PFAS,FNBP1,SLC29A3,B_cells_naive,B_cells_memory,Plasma_cells,T_cells_CD8,T_cells_CD4_naive,T_cells_CD4_memory_resting,T_cells_CD4_memory_activated,T_cells_follicular_helper,T_cells_regulatory_(Tregs),T_cells_gamma_delta,NK_cells_resting,NK_cells_activated,Monocytes,Macrophages_M0,Macrophages_M1,Macrophages_M2,Dendritic_cells_resting,Dendritic_cells_activated,Mast_cells_resting,Mast_cells_activated,Eosinophils,Neutrophils
S00022,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0.124320845946305,0,0.286358539395703,0.0133980891958747,0,0.131727021630572,0,0,0.0189388885870885,0,0,0.0728362840932102,0,0.201308003311401,0.0540819027379731,0.0412978176274968,0,0,0,0.0517309994173829,0,0.00400160805699239
S00035,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0163866264013352,0,0.102255391201719,0.00600407619546951,0,0.00614844245158332,0,0.0451807495152281,0.0340881419838212,0.0486292300384374,0,0.0244601649820676,0,0.36822116861411,0.0392285151926556,0.237607009647614,0,0,0,0.0717904837759586,0,0
S00050,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.231501302192492,0.0721185604841723,0,0.0805727920986714,0.0087803248988639,0.0772761006140958,0.015801003031249,0.0732651059161178,0,0.0387432783025786,0,0.168036365910147,0.110148001973158,0.0242032281673846,0,0,0.0995539364110698,0,0,0
S00356,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.0035580205083167,0,0.244481723203935,0.0709108502333374,0,0.18992178433136,0,0.00692585877868333,0.0107493911953381,0.114413996657948,0,0.0118985653136655,0,0.102519113285005,0.127248374290861,0.0747862390274204,0.00789916062578087,0,0.0346869225483489,0,0,0
S00472,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.415270007683882,0.012346338997774,0,0.128586210144933,0,0,0.0793267629100106,0.012848146850585,0,0,0,0.144375615393507,0.0604440558135678,0.113184911046121,0,0.00294481473303331,0,0.0243130783430491,0,0.00636005808353714
S00501,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0.00842329353302186,0,0.171943484019378,0.0587868365267859,0,0.174520285032699,0.0834456644860744,0.0477677412157974,0.00235911289234304,0.092539676342718,0,0.0923274023633311,0,0.0688166463720868,0.113693006026388,0.032747990409738,0,0,0,0.0484462338134142,0,0.00418262696622416
S00825,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0.00482913780385822,0.0228553820641238,0.133325473066234,0.0655735264533823,0,0.200842881713509,0.0219112397292167,0.0649213795466533,0,0.107210333528202,0,0.0757599632804541,0.00461148135172863,0.0330864099335091,0.136651580077802,0.0750742786321853,0.0115313522165835,0,0.00338445078989561,0.0367771887577174,0,0.0016539410549448
S00827,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.0290619223798236,0,0.246373164626747,0.0778851418975334,0,0.0537804423716764,0.0169794605958496,0.0437215687281151,0.0529943221931134,0.107718686921554,0,0.0817523479517939,0,0.0781817740509838,0.137579365182388,0,0.0560702891497113,0,0.0178397456180505,0,0,6.17683326604954e-05
S00829,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.00356292636298869,0,0.128863477662486,0.111341411995429,0,0.0535927814665607,0.130734726326579,0.0329519921784631,0,0.1037386205207,0,0.0499334665537169,0,0.0705031153084722,0.195201514092778,0.0299830271476245,0.0579899216382092,0,0,0.0316030187459927,0,0
S00830,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.00301922461341446,0.165899735288724,0.103010257919506,0,0.0747268922641891,0.0116500535695811,0.0446760689179651,0.0413008263380938,0.0600071553997718,0,0.0543065854757874,0,0.263479253172662,0.112988982992629,0.0311256354242096,0.0109994464863554,0,0.0228098821371112,0,0,0
S00831,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0.0174788284449359,0,0.155398489345425,0.0115462851921366,0,0.074998380460069,0.0427244735558395,0.0518285824409568,0.0600131762047919,0.0860907955317231,0,0.0238382174371753,0,0.169236934979688,0.135953209649609,0.0981696532269854,0,0.0496409350122777,0.0210856545183211,0,0,0.00199638400006521
S00832,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0.0185868789182788,0,0.0190661103341109,0.0339452599139823,0,0.0852723831586991,0.0283933877038897,0,0,0.0137743971265112,0,0.086512202987557,0.00230058751337989,0.1590140733336,0.0725035836317429,0.252494703070238,0,0.00811948439761098,0,0.21055553978033,0,0.00946140813006946
