,pval,score
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION,3.29e-07,5.656618999
GO_B_CELL_MEDIATED_IMMUNITY,6.82e-07,5.47183742
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,8.97e-07,5.401840094
GO_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,1.46e-06,5.276162303
GO_T_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION,3.1e-06,5.081203471
GO_NATURAL_KILLER_CELL_ACTIVATION,4.74e-06,4.969209535
GO_T_CELL_RECEPTOR_BINDING,5.87e-06,4.912790317
GO_INTERLEUKIN_1_SECRETION,1.08e-05,4.749392614
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1.16e-05,4.730845192
GO_LEUKOCYTE_AGGREGATION,1.49e-05,4.663194852
GO_RESPONSE_TO_CHEMOKINE,7.25e-05,4.224120125
GO_MHC_PROTEIN_BINDING,0.000120277,4.078893927
GO_C_X_C_CHEMOKINE_RECEPTOR_ACTIVITY,0.00017302,3.972979311
GO_CYTOKINE_ACTIVITY,0.0001799,3.961533404
GO_CCR_CHEMOKINE_RECEPTOR_BINDING,0.000207485,3.919506942
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB,0.000666057,3.56608926
